judge,family,n_problems,mean_accuracy,slope_acc_per_year,ci_lo,ci_hi,spearman_rho,spearman_p
qwen,memorisable,157,0.34345364472753004,-0.3788279166962082,-0.6333288610197005,-0.17418883504893326,-0.20740913229861668,0.009148127923077657
qwen,novel,155,0.9419354838709677,0.01877570576479127,-0.06625882760899389,0.1402030061309249,-0.012206323576917326,0.8801784516863967
deepseek,memorisable,157,0.20601556970983725,-0.2636813948641216,-0.47750354233315684,-0.07107730722685346,-0.13580804574110336,0.08989756882817533
deepseek,novel,155,0.9838709677419355,0.034925774177707855,-0.019736927221636637,0.11346884263490294,0.062277116695137025,0.4414094028649399
llama,memorisable,157,0.5391365888181174,-0.305533381336676,-0.5801030986189437,-0.052903381176440493,-0.14347882071800672,0.07302004512460022
llama,novel,155,0.6695340501792114,0.04346167817544331,-0.2531527495914108,0.26066483836805926,0.017471110418000448,0.8291675378096502
claude,memorisable,157,0.47791932059447984,-0.4710433078153605,-0.7448588037235325,-0.26239589218808324,-0.25989621669867874,0.0010121014793196676
claude,novel,155,0.9381720430107529,0.01739039482892884,-0.08636204826339423,0.15658430274066468,0.0035384626276093395,0.9651458952583982
gpt,memorisable,157,0.4407643312101911,-0.08621440391371635,-0.32949672980166084,0.12340028542035336,-0.04447012548518324,0.5802428238182042
gpt,novel,155,0.9795698924731182,0.039525869802817984,-0.01631524872099919,0.11622308272266019,0.1691098705050159,0.03541916612953
