judge,metric,semantic_sensitivity,surface_sensitivity,validity_index,ci_lo,ci_hi
qwen,quality,2.155868544600939,0.3738666666666666,5.76641015852605,4.8045462371961305,6.981312434026494
qwen,p_correct,0.7812206572769953,0.0848,9.212507750907964,7.15213318571799,12.629755107967592
deepseek,quality,2.0713615023474174,0.4376,4.733458643389894,4.027341880208525,5.704186574612818
deepseek,p_correct,0.5370892018779343,0.13866666666666666,3.8732394366197185,3.0278933484089645,5.090459054834056
llama,quality,0.9746478873239437,0.6778666666666667,1.4378165135581387,1.2874954907405,1.6061924992884995
llama,p_correct,0.6694835680751173,0.08693333333333333,7.701114663440767,5.8494877537824905,10.601740007038021
claude,quality,2.174647887323944,0.4624,4.702958233832058,3.975386135549667,5.5674180003877405
claude,p_correct,0.6929577464788732,0.1056,6.562099871959027,4.562834939064558,10.128594608042798
gpt,quality,2.4544600938967136,0.3098666666666667,7.9210200964825095,6.3838470786012165,10.067451767376832
gpt,p_correct,0.6967136150234742,0.11146666666666667,6.2504211874115505,4.781212790085604,8.328869680610447
